index	name	color
1	7Networks_LH_Vis_1	#0f97a6
2	7Networks_LH_Vis_2	#d9826a
3	7Networks_LH_Vis_3	#883af5
4	7Networks_LH_Vis_4	#187fe6
5	7Networks_LH_Vis_5	#77626f
6	7Networks_LH_Vis_6	#56e1ad
7	7Networks_LH_Vis_7	#8ba7f9
8	7Networks_LH_Vis_8	#6cd0e8
9	7Networks_LH_Vis_9	#c17976
10	7Networks_LH_Vis_10	#ace393
11	7Networks_LH_Vis_11	#cf2b7c
12	7Networks_LH_Vis_12	#63ca50
13	7Networks_LH_Vis_13	#75e96c
14	7Networks_LH_Vis_14	#0b3d5e
15	7Networks_LH_SomMot_1	#4fd50b
16	7Networks_LH_SomMot_2	#4c32b9
17	7Networks_LH_SomMot_3	#e7e194
18	7Networks_LH_SomMot_4	#83a55d
19	7Networks_LH_SomMot_5	#826d1b
20	7Networks_LH_SomMot_6	#97fa2d
21	7Networks_LH_SomMot_7	#ac5565
22	7Networks_LH_SomMot_8	#a49c1c
23	7Networks_LH_SomMot_9	#474ba7
24	7Networks_LH_SomMot_10	#cfa64c
25	7Networks_LH_SomMot_11	#d7965c
26	7Networks_LH_SomMot_12	#8f9cc5
27	7Networks_LH_SomMot_13	#b370d1
28	7Networks_LH_SomMot_14	#f25ba6
29	7Networks_LH_SomMot_15	#4bc1be
30	7Networks_LH_SomMot_16	#3b76cc
31	7Networks_LH_DorsAttn_Post_1	#b41682
32	7Networks_LH_DorsAttn_Post_2	#b70abc
33	7Networks_LH_DorsAttn_Post_3	#adf0c4
34	7Networks_LH_DorsAttn_Post_4	#e9c7e6
35	7Networks_LH_DorsAttn_Post_5	#c22fce
36	7Networks_LH_DorsAttn_Post_6	#0fd2fa
37	7Networks_LH_DorsAttn_Post_7	#72f33a
38	7Networks_LH_DorsAttn_Post_8	#0eb7d0
39	7Networks_LH_DorsAttn_Post_9	#f66247
40	7Networks_LH_DorsAttn_Post_10	#5a5cb9
41	7Networks_LH_DorsAttn_FEF_1	#bd0bc7
42	7Networks_LH_DorsAttn_FEF_2	#d81d1b
43	7Networks_LH_DorsAttn_PrCv_1	#8e01ea
44	7Networks_LH_SalVentAttn_ParOper_1	#3994a2
45	7Networks_LH_SalVentAttn_ParOper_2	#9e0626
46	7Networks_LH_SalVentAttn_ParOper_3	#ed395a
